ID,consider_analyses,zip,town,canton,coordX,coordY,accuracy_of_coordinates,intentionality,type_of_food,source_of_food,frequency,amount g,restricted feeding,site_characteristics,n_birds,start,started,end,updates 12.2.22
112,unknown,3297,Leuzigen,BE,600903,224861,exact,intentional,slaughter waste,butchery,3-4/week,200 - 500,winter,garden,2,2018,2016,ongoing,
113,unknown,3075,Rüfenacht,BE,606929,197800,town,intentional,chicken,grocery store,1-2x/week,>1000,year round,edge of the forest,25,2018,> 30 years,unknown,
114,unknown,6048,Horw,LU,667307,208702,neighbour,intentional,minced meat,unknown,unknown,unknown,unknown,unknown,>20,2018,unknown,unknown,
115,unknown,8804,Au,ZH,690272,233658,exact,intentional,unknown,unknown,unknown,unknown,unknown,unknown,>20,2018,unknown,unknown,
116,small ,6048,Horw,LU,667323,208426,exact,intentional,kitchen waste,grocery store,3-4/week,< 200 ,summer,garden,2,2018,2016,unknown,
117,unknown,6442,Gersau,SZ,683363,204837,neighbour,intentional,meat,unknown,unknown,unknown,"winter, summer",unknown,unknown,2019,unknown,unknown,
118,medium,8162,Steinmaur,ZH,676677,261565,neighbour,intentional,unknown,unknown,daily,unknown,year round,forecourt,unknown,2018,unknown,unknown,
119,unknown,8353,Elgg,ZH,708202,260740,exact,intentional,chicken,unknown,daily,1000 - 2000,winter,unknown,unknown,2020,unknown,unknown,
120,unknown,8475,Ossingen,ZH,695105,276403,exact,intentional,kitchen waste,kitchen,1x/week,unknown,unknown,unknown,unknown,2020,unknown,unknown,
121,unknown,1715,Alterswil,FR,588091,181299,exact,intentional,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2020,unknown,unknown,
122,unknown,8134,Adliswil,ZH,682447,239362,exact,intentional,chicken necks,grocery store (Migros),daily,1000,year round,roof terrace,6,2020,2012,ongoing,
123,unknown,8608,Zürich,ZH,452750,236346,town,intentional,unknown,unknown,unknown,unknown,winter,unknown,>30,2020,unknown,ongoing,
