ID;nest_name;municipaliy;location;coordX;coordY;tree_species;latitude;longitude;eu_dem_v11;swissALTI;nest_height_m;official_zip;official_municipality;official_locality;official_canton;official_country
110;Villarsel_Nesslera;Villarsel;Nesslera;580815;178950;Pabi;46.761453;7.187506;668.41;670.12;NA;1724;Le Mouret;Bois de la Rotzetta;Fribourg;Switzerland
111;Fribourg_Ste Croix;Fribourg;Ste Croix;578417;183068;Fsyl;46.798422;7.155922;613.44;612.23;NA;1700;Fribourg;Bois de Pérolles;Fribourg;Switzerland
112;Schwarzenburg_Waldgasse;Schwarzenburg;Waldgasse;591532;183996;Aalb;46.807067;7.327696;853.48;856.17;22.1;3150;Schwarzenburg;Lismerenhölzli;Bern;Switzerland
113;Schmitten_Betlehem;Schmitten;Betlehem;583910;188937;Qrob;46.851371;7.227666;658.36;653.10;23.1;3185;Schmitten (FR);Gibel;Fribourg;Switzerland
114;Wünnewil_Golf;Wünnewil;Golf;589215;191651;Pabi;46.875892;7.297159;593.09;576.15;NA;3184;Wünnewil;Golfplatz;Fribourg;Switzerland
115;Agriswil_Chriegsmatt;Agriswil;Chriegsmatt;582540;200547;Fsyl;46.955771;7.209256;478.15;472.36;NA;3216;Agriswil;Tannholz;Fribourg;Switzerland
116;Alterswil_Seliholz tree row;Alterswil;Seliholz tree row;586044.6;184275.8;Qrob;46.809491;7.255797;702.22;703.78;19.4;1713;St. Antoni;Seeligrabe;Fribourg;Switzerland
117;Alterswil_Baletswil lower;Alterswil;Baletswil lower;585220;181015;Pabi;46.780141;7.2451;780.76;767.46;NA;1717;St. Ursen;Baletswil;Fribourg;Switzerland
118;Villarsel_Commanderie;Villarsel;Commanderie;580084;179050;Fsyl;46.762331;7.177933;710.89;702.34;NA;1723;Villarsel-sur-Marly;Bois de Corbaroche;Fribourg;Switzerland
119;Bösingen_Noflenau picea;Bösingen;Noflenau picea;586668;193503;Pabi;46.892505;7.263694;540.36;535.04;27.3;3184;Wünnewil;Farneraholz;Fribourg;Switzerland
120;Alterswil_Rüti;Alterswil;Rüti;586765;180575;Pabi;46.776216;7.265344;819.90;816.33;32.7;1718;Rechthalten;Steinbrunnenholz;Fribourg;Switzerland
121;St. Sylvester_Unterbuech N;St. Sylvester;Unterbuech N;581909;178224;Fsyl;46.754953;7.201855;730.34;730.48;25.1;1736;St. Silvester;Buechflüe;Fribourg;Switzerland
122;Alterswil_Wolperswil;Alterswil;Wolperswil;585520;181264;Pabi;46.782387;7.249021;762.93;737.02;29.2;1717;St. Ursen;Lehbüel;Fribourg;Switzerland
123;Brünisried_Obere Weier;Brünisried;Obere Weier;587809;177814;Pabi;46.751399;7.279087;908.63;895.36;NA;1719;Brünisried;Allmet;Fribourg;Switzerland
124;Plaffeien_Hohliebi;Plaffeien;Hohliebi;588104;175386;Pabi;46.729564;7.283012;909.59;906.84;18.0;1716;Plaffeien;Holiebiweg;Fribourg;Switzerland
125;Schmitten_Ober Zirkels;Schmitten;Ober Zirkels;587199;189537;Qrob;46.85684;7.270774;623.76;631.91;16.1;3185;Schmitten (FR);Ober Zirkels;Fribourg;Switzerland
126;Giffers_Moosmatta beech;Giffers;Moosmatta beech;584080.4;177913.2;Fsyl;46.752213;7.230286;852.71;846.99;19.9;1735;Giffers;Giffersholz;Fribourg;Switzerland
127;Düdingen_St.Wolgangholz S;Düdingen;St.Wolgangholz S;580210;186700;Pabi;46.831149;7.17925;652.24;649.99;NA;3186;Düdingen;Balliswil;Fribourg;Switzerland
128;St. Ursen_Tasberg;St. Ursen;Tasberg;581810;182520;Fsyl;46.793594;7.200388;692.27;674.62;27.2;1717;St. Ursen;Tasberg;Fribourg;Switzerland
129;Granges-Paccots_Foire;Granges-Paccots;Foire;578280;186450;Psyl;46.828839;7.153966;550.14;567.61;NA;1763;Granges-Paccot;Agy;Fribourg;Switzerland
