nr,coord_x,coord_y,square,random,area,Q1,Q2,Q3,Q4.a,Q4.b,Q4.c,Q5,Q6Rotmilan,Q7,Q8.Erhaltung,Q8.näher,Q8.Vorschlag,Q8.Photo,Q8.übriges.L,Q8.sonstiges,Q9,Q10,Q11.a,Q11.b,Q11.c,sex,age,reaction..0.2.,building.type,comments,intentionality,ref.nr..Known.feeder
24,590952.4,190340.4,G21,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,B,>65,1,house + garden,NA,NA,NA
25,590617.6,192169.5,G21,1,village,Ja,ganze Jahr,>2/Woche,Sonstiges,1,rohes Fleisch,600-800,1,3-5months,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,M,50-65,1,farm,"Feeds poulet when die, mostly goshawk ",nonintentional,NA
26,591693.8,190681.7,G21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,F,50-65,1,house + garden,592223 190309 feeds bones,NA,211
27,590639.7,191439.9,G21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,farm,NA,NA,NA
28,590495.5,190151.6,G21,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,F,>65,2,house + garden,Portman willi chruzzelg 17 ueberstorf 0317412939,NA,203
29,591435.2,191029.1,G21,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,apartment ,NA,NA,NA
30,592274.3,190585.4,G21,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,50-65,1,farm,NA,NA,NA
31,590129.9,192208.4,G21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,50-65,1,farm,NA,NA,NA
32,590477.6,190105.3,G21,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,20-35,1,apartment ,NA,NA,NA
33,590089.2,192328,G21,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,35-50,1,house + garden,NA,NA,NA
34,590512.9,190236.3,G21,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,35-50,1,apartment ,NA,NA,NA
35,594364.7,192277.9,G22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,>65,1,farm,NA,NA,NA
36,593402.3,192143.8,G22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,B,50-65,2,house + garden,"Picked other house. Fans of vogelwarte, do all kind of stuff for birds",NA,NA
37,594202.7,190909.9,G22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,50-65,1,farm,NA,NA,NA
38,593345.3,191395,G22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,50-65,1,house + garden,NA,NA,NA
39,594395.1,192254.1,G22,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,M,20-35,1,house + garden,NA,NA,NA
40,584821.7,188788.2,H18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,F,20-35,1,house + garden,NA,NA,NA
41,583370.5,187841.8,H18,1,village,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,M,20-35,1,house + garden,NA,NA,NA
42,584293,189235.5,H18,1,outside,Nein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,F,>65,1,house + garden,NA,NA,NA
43,582828.6,188172.6,H18,1,outside,Ja,ganze Jahr,>2/Woche,Küchenabfälle,NA,NA,<200g,1,2-3years,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,M,>65,2,farm,"Very vague about how much/when/how long/what etc. feeds on shit heap, but mostly crows take the food",nonintentional,NA
